:[-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000]
:[-0.000000,-0.000615,-0.000000,-0.000000,-0.000000,0.000615,-0.000000,-0.000615,-0.000000,-0.000000,-0.000000,0.000615]
:[-0.000000,-0.001230,-0.000000,-0.000000,-0.000000,0.001230,-0.000000,-0.001230,-0.000000,-0.000000,-0.000000,0.001230]
:[-0.000000,-0.001844,-0.000000,-0.000000,-0.000000,0.001844,-0.000000,-0.001844,-0.000000,-0.000000,-0.000000,0.001844]
:[-0.000000,-0.002459,-0.000000,-0.000000,-0.000000,0.002459,-0.000000,-0.002459,-0.000000,-0.000000,-0.000000,0.002459]
:[-0.000000,-0.003074,-0.000000,-0.000000,-0.000000,0.003074,-0.000000,-0.003074,-0.000000,-0.000000,-0.000000,0.003074]
:[-0.000000,-0.003688,-0.000000,-0.000000,-0.000000,0.003688,-0.000000,-0.003688,-0.000000,-0.000000,-0.000000,0.003688]
:[-0.000000,-0.004303,-0.000000,-0.000000,-0.000000,0.004303,-0.000000,-0.004303,-0.000000,-0.000000,-0.000000,0.004303]
:[-0.000000,-0.004917,-0.000000,-0.000000,-0.000000,0.004917,-0.000000,-0.004917,-0.000000,-0.000000,-0.000000,0.004917]
:[-0.000000,-0.005532,-0.000000,-0.000000,-0.000000,0.005532,-0.000000,-0.005532,-0.000000,-0.000000,-0.000000,0.005532]
:[-0.000000,-0.006146,-0.000000,-0.000000,-0.000000,0.006146,-0.000000,-0.006146,-0.000000,-0.000000,-0.000000,0.006146]
:[-0.000000,-0.006760,-0.000000,-0.000000,-0.000000,0.006760,-0.000000,-0.006760,-0.000000,-0.000000,-0.000000,0.006760]
:[-0.000000,-0.007374,-0.000000,-0.000000,-0.000000,0.007374,-0.000000,-0.007374,-0.000000,-0.000000,-0.000000,0.007374]
:[-0.000000,-0.007988,-0.000000,-0.000000,-0.000000,0.007988,-0.000000,-0.007988,-0.000000,-0.000000,-0.000000,0.007988]
:[-0.000000,-0.008601,-0.000000,-0.000000,-0.000000,0.008601,-0.000000,-0.008601,-0.000000,-0.000000,-0.000000,0.008601]
:[-0.000000,-0.009215,-0.000000,-0.000000,-0.000000,0.009215,-0.000000,-0.009215,-0.000000,-0.000000,-0.000000,0.009215]
